the_geom,MeterType,MeterNo,LONG,LAT,Status
POINT (-73.86517020266234 40.6770120488885),Strada,3773004,-73.8651702027,40.6770120489,Active
POINT (-73.9250406819429 40.76123920493658),Strada,4953003,-73.9250406819,40.7612392049,Active
POINT (-73.85479441192734 40.727926680024865),Strada,4173077,-73.8547944119,40.72792668,Active
POINT (-73.8607626988616 40.73059678692016),Strada,4173097,-73.8607626989,40.7305967869,Active
POINT (-73.82577820994788 40.685706202413975),Strada,4293047,-73.8257782099,40.6857062024,Active
POINT (-73.80634300493357 40.76344296371756),Strada,4283067,-73.8063430049,40.7634429637,Active
POINT (-73.91467777868934 40.74399766728737),Strada,4203004,-73.9146777787,40.7439976673,Active
POINT (-73.82008171443317 40.68755525342167),Strada,4293085,-73.8200817144,40.6875552534,Active
POINT (-73.85617773844531 40.692432327586616),Strada,4313053,-73.8561777384,40.6924323276,Active
POINT (-73.89772802715171 40.746125084149156),Strada,4203041,-73.8977280272,40.7461250841,Active
POINT (-73.85794281351274 40.69264334191332),Strada,4313022,-73.8579428135,40.6926433419,Active
POINT (-73.88350336093048 40.756025615302946),Strada,4391228,-73.8835033609,40.7560256153,Active
POINT (-73.8220686199835 40.72701631604036),Strada,4512449,-73.82206862,40.727016316,Active
POINT (-73.94806551389595 40.58369558288005),Strada,3343051,-73.9480655139,40.5836955829,Active
POINT (-73.78271336428362 40.75748541276249),Strada,4283023,-73.7827133643,40.7574854128,Active
POINT (-73.89917185614424 40.74633062636507),Strada,4203045,-73.8991718561,40.7463306264,Active
POINT (-73.84295336047713 40.685199672467924),Strada,4293012,-73.8429533605,40.6851996725,Active
POINT (-73.81967923633441 40.68790986146386),Strada,4293062,-73.8196792363,40.6879098615,Active
POINT (-73.84448117732443 40.721837446309664),Strada,4053083,-73.8444811773,40.7218374463,Active
POINT (-73.902263143934 40.70053179007308),Strada,4093023,-73.9022631439,40.7005317901,Active
POINT (-73.7513408640069 40.603340991809425),Strada,4113104,-73.751340864,40.6033409918,Active
POINT (-73.8479065278914 40.72153205639762),Strada,4053044,-73.8479065279,40.7215320564,Active
POINT (-73.87559444019611 40.75060981240808),Strada,4123018,-73.8755944402,40.7506098124,Active
POINT (-73.88988005308784 40.7494037845859),Strada,4123055,-73.8898800531,40.7494037846,Active
POINT (-73.90100489241155 40.700542721272164),Strada,4093016,-73.9010048924,40.7005427213,Active
POINT (-73.83082645054353 40.75764590348112),Strada,4063077,-73.8308264505,40.7576459035,Inactive
POINT (-73.89837445894956 40.70067614775683),Strada,4093057,-73.8983744589,40.7006761478,Active
POINT (-73.876328392575 40.750642330327345),Strada,4123012,-73.8763283926,40.7506423303,Active
POINT (-73.70804572901889 40.73729098052895),Strada,4473136,-73.708045729,40.7372909805,Active
POINT (-73.71818262723464 40.743842297263406),Strada,4473114,-73.7181826272,40.7438422973,Active
POINT (-73.99685510545568 40.713422989835344),Strada,1023007,-73.9968551055,40.7134229898,Active
POINT (-73.96145027910649 40.81038092621905),Strada,1389709,-73.9614502791,40.8103809262,Active
POINT (-73.89731938898738 40.707781956480915),Strada,4263028,-73.897319389,40.7077819565,Active
POINT (-74.00414800595091 40.70609201731941),Strada,1483028,-74.004148006,40.7060920173,Active
POINT (-73.83825573141205 40.69606081799223),Strada,4463008,-73.8382557314,40.696060818,Active
POINT (-74.00899140107683 40.70576761801662),Strada,1483047,-74.0089914011,40.705767618,Active
POINT (-73.99355086997309 40.73257034654217),Strada,1473061,-73.99355087,40.7325703465,Active
POINT (-73.88405905166361 40.85409495305679),Strada,2131169,-73.8840590517,40.8540949531,Active
POINT (-73.88671053474647 40.85665513195325),Strada,2131196,-73.8867105347,40.856655132,Active
POINT (-73.88862572169015 40.85589841371367),Strada,2131183,-73.8886257217,40.8558984137,Active
POINT (-73.84259475545643 40.84110316645527),Strada,2162800,-73.8425947555,40.8411031665,Active
POINT (-73.97182811307427 40.67505383501959),Strada,3249907,-73.9718281131,40.675053835,Active
POINT (-73.98338966446937 40.664856019520435),Strada,3179761,-73.9833896645,40.6648560195,Active
POINT (-73.74321728253425 40.73047282987215),Strada,4303003,-73.7432172825,40.7304728299,Active
POINT (-73.87338855484369 40.73283175441196),Strada,4413035,-73.8733885548,40.7328317544,Active
POINT (-73.96672115450795 40.576386104222365),Strada,3083004,-73.9667211545,40.5763861042,Active
POINT (-73.95734925364643 40.57825373291648),Strada,3083032,-73.9573492536,40.5782537329,Active
POINT (-73.8305896628412 40.757897144451036),Strada,4873007,-73.8305896628,40.7578971445,Inactive
POINT (-73.77119574498076 40.65837267609399),Strada,4483105,-73.771195745,40.6583726761,Active
POINT (-73.93163031873307 40.75208191634915),Strada,4343138,-73.9316303187,40.7520819163,Active
POINT (-73.78217838977667 40.72905102596046),Strada,4433011,-73.7821783898,40.729051026,Active
POINT (-73.86905791997798 40.72385658039029),Strada,4493125,-73.86905792,40.7238565804,Active
POINT (-73.80488562025903 40.73228905059016),Strada,4423106,-73.8048856203,40.7322890506,Active
